customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,total_claim_amount,effective_to_date
2763.519279,56274,69,32,5,384.811147,20110224
6979.535903,0,94,13,42,1131.464935,20110131
12887.43165,48767,108,18,38,566.472247,20110219
7645.861827,0,106,18,65,529.881344,20110120
2813.692575,43836,73,12,44,138.130879,20110203
8256.2978,62902,69,14,94,159.383042,20110125
5380.898636,55350,67,0,13,321.6,20110224
7216.100311,0,101,0,68,363.02968,20110118
24127.50402,14072,71,13,3,511.2,20110126
7388.178085,28812,93,17,7,425.527834,20110217
4738.992022,0,67,23,5,482.4,20110221
8197.197078,0,110,27,87,528.0,20110106
8798.797003,77026,110,9,82,472.029737,20110206
8819.018934,99845,110,23,25,528.0,20110110
5384.431665,83689,70,21,10,307.139132,20110118
7463.139377,24599,64,12,50,42.920271,20110117
2566.867823,25049,67,14,7,454.245098,20110206
3945.241604,28855,101,12,59,647.442031,20110105
5710.333115,51148,72,9,1,308.981664,20110227
8162.617053,66140,101,11,21,484.8,20110114
2872.051273,57749,74,31,21,355.2,20110219
3041.791561,13789,79,8,49,379.2,20110121
24127.50402,14072,71,13,3,511.2,20110126
2450.190996,0,73,4,44,554.376763,20110224
2392.10789,17870,61,30,91,439.2,20110205
5802.065978,97541,72,22,1,389.185006,20110129
3946.372085,0,111,15,47,799.2,20110228
5346.916576,10511,139,33,64,516.237951,20110212
12902.56014,86584,111,33,54,532.8,20110202
3235.360468,75690,80,17,44,384.0,20110207
2454.58354,23158,63,4,6,322.294043,20110228
18975.45611,65999,237,1,14,615.927769,20110122
4715.321344,0,65,19,56,308.15089,20110125
5018.885233,54500,63,28,17,302.4,20110118
4932.916345,37260,62,19,42,15.437681,20110213
5744.229745,68987,71,11,40,204.475147,20110115
13891.73567,42305,117,10,62,561.6,20110108
7380.976717,65706,91,19,86,436.8,20110206
3090.034104,0,90,7,79,648.0,20110125
2521.633095,53243,66,4,15,157.397849,20110207
2652.061785,0,70,7,1,484.318536,20110118
2771.045031,50071,71,3,32,18.918935,20110111
3939.00637,60021,99,12,28,882.871945,20110128
12231.87968,43244,103,15,16,494.4,20110208
2443.665166,92834,61,15,56,292.8,20110223
12819.10289,10105,172,5,4,0.517753,20110125
4468.510542,0,73,7,57,579.165954,20110131
5514.344018,23218,71,7,10,447.79344,20110102
3343.875326,0,92,11,77,529.624084,20110207
2294.478927,0,62,11,56,313.023175,20110118
36707.42639,24804,104,1,28,593.830288,20110117
33473.34946,33190,106,18,95,508.8,20110111
7983.431709,36014,69,4,40,173.956072,20110221
4854.745666,29834,64,19,44,307.2,20110216
4293.997319,16701,113,20,26,831.625979,20110117
7164.395543,46623,91,1,53,436.8,20110205
7619.5158,64749,64,24,59,302.56519,20110213
3958.002823,0,101,29,12,484.8,20110223
4499.493252,16969,124,34,47,704.768111,20110128
4059.567414,11621,108,4,98,518.4,20110228
4458.113369,17622,65,1,36,312.0,20110102
8110.333139,11489,105,4,50,504.0,20110122
3339.764873,0,94,20,53,863.327324,20110115
24261.01777,66525,100,0,86,104.331355,20110127
6613.973653,0,63,21,28,676.391482,20110123
2930.693543,33663,73,29,71,350.4,20110131
8672.194272,22547,112,7,60,537.6,20110126
11638.66926,61486,97,5,65,465.258644,20110110
6846.150323,0,95,13,20,456.0,20110127
11727.77648,29879,102,17,0,500.254235,20110109
22643.83478,93011,113,17,12,281.451042,20110224
2614.474305,65186,65,29,27,5.434505,20110211
2451.752695,26840,64,1,47,307.2,20110212
6781.270203,0,104,30,3,982.399613,20110204
4974.801539,75644,65,5,68,467.803638,20110118
8591.604933,38984,73,27,38,350.4,20110211
